ID,Frase
1,Eu amei demais esse produto mudou completamente minha vida
2,O pacote chegou ontem de tarde
3,Esse foi o pior atendimento que já recebi na vida
4,Estou muito feliz com os resultados superou todas as minhas expectativas
5,A reunião está marcada para segunda às 10h
6,Odeio ficar esperando em filas longas é muito frustrante
7,Que filme incrível assisti duas vezes e ainda quero ver de novo
8,O documento foi atualizado hoje
9,Estou muito decepcionado com o serviço ao cliente
10,Hoje foi um dia maravilhoso tudo deu certo
11,A loja fecha às 21h
12,Essa comida tem um gosto horrível jamais vou pedir aqui de novo
13,Me sinto muito grato por todo o apoio que recebi
14,O arquivo tem 4MB de tamanho
15,Não acredito como o funcionário foi grosseiro totalmente inaceitável
16,Que pôr do sol lindo me sinto muito tranquilo agora
17,O relatório tem três seções
18,Me arrependo de ter comprado isso quebrou no primeiro dia
19,Minha equipe fez um trabalho incrível estou muito orgulhoso de todos
20,A temperatura lá fora está em 22 graus
21,Esse aplicativo trava o tempo todo é insuportável
22,Me diverti muito nessa viagem foi a melhor da minha vida
23,A lista tem cinco itens
24,O barulho da obra é insuportável não consigo me concentrar
25,Acabei de ser promovido estou nas nuvens de felicidade
26,A reunião foi transferida para quinta-feira
27,Me sinto muito decepcionado com essa empresa perderam minha confiança
28,Esse é sem dúvida o melhor café que já tomei na vida
29,O sistema será atualizado amanhã
30,Estou exausto e estressado não aguento mais essa situação
